Coursera,Course Name,Company,Course Description,Topics,Skills
,Data Analysis in Social Science—Assessing Your Knowledge,MIT,"This course consists of an assessment that tests your knowledge on the course content from 14.310x - Data Analysis for Social Scientists , a statistics and data analysis course that will introduce you to the essential notions of probability and statistics. It will cover techniques in modern data analysis: estimation, regression and econometrics, prediction, experimental design, randomized control trials (and A/B testing), machine learning, and data visualization. It will illustrate these concepts with applications drawn from real world examples and frontier research. Finally, it will provide instruction for how to use the statistical package R and opportunities for students to perform self-directed empirical analyses.

This assessment course should only be taken by learners who have completed and passed 14.310x - Data Analysis for Social Scientists and intend to pursue the MicroMasters credential in Statistics and Data Science. To get credit in this MicroMasters program:

Enroll in both this assessment course and the content course 14.310x - Data Analysis for Social Scientists (Note: There is no additional fee to enroll in the content course),
Complete the content course 14.310x with a passing grade,
Come back to this course and take the exam to earn your verified certificate that will count toward the MicroMasters credential in Statistics and Data Science.","You will be tested on your knowledge in the following areas:

Intuition behind probability and statistical analysis
How to summarize and describe data
A basic understanding of various methods of evaluating social programs
How to present results in a compelling and truthful way
Skills and tools for using R for data analysis
These are all taught in the content course 14.310x - Data Analysis for Social Scientists",
,Data Analysis: Statistical Modeling and Computation in Applications,MIT,"Data science requires multi-disciplinary skills ranging from mathematics, statistics, machine learning, problem solving to programming, visualization, and communication skills. In this course, learners will combine these foundational and practical skills with domain knowledge to ask and answer questions using real data.

This course will start with a review of common statistical and computational tools such as hypothesis testing, regression, and gradient descent methods. Then, learners will study common models and methods to analyze specific types of data in four different domain areas:

Epigenetic Codes and Data Visualization
Criminal Networks and Network Analysis
Prices, Economics and Time Series
Environmental Data and Spatial Statistics
Learners will be guided to analyze a real data set from each of these areas of focus, and present their findings in written reports. They will also discuss relevant and practical issues with peers.","Model, form hypotheses, perform statistical analysis on real data
Use dimension reduction techniques such as principal component analysis to visualize high-dimensional data and apply this to genomics data
Analyze networks (e.g. social networks) and use centrality measures to describe the importance of nodes, and apply this to criminal networks
Model time series using moving average, autoregressive and other stationary models for forecasting with financial data
Use Gaussian processes to model environmental data and make predictions
Communicate analysis results effectively",
,Python for Data Science,UC San Diego,"In the information age, data is all around us. Within this data are answers to compelling questions across many societal domains (politics, business, science, etc.). But if you had access to a large dataset, would you be able to find the answers you seek?

This course, part of the Data Science MicroMasters program, will introduce you to a collection of powerful, open-source, tools needed to analyze data and to conduct data science. Specifically, you'll learn how to use:

python
jupyter notebooks
pandas
numpy
matplotlib
git
and many other tools.
You will learn these tools all within the context of solving compelling data science problems.

After completing this course, you'll be able to find answers within large datasets by using python tools to import data, explore it, analyze it, learn from it, visualize it, and ultimately generate easily sharable reports.

By learning these skills, you'll also become a member of a world-wide community which seeks to build data science tools, explore public datasets, and discuss evidence-based findings. Last but not least, this course will provide you with the foundation you need to succeed in later courses in the Data Science MicroMasters program.","Basic process of data science
Python and Jupyter notebooks
An applied understanding of how to manipulate and analyze uncurated datasets
Basic statistical analysis and machine learning methods
How to effectively visualize results",
,Probability and Statistics in Data Science using Python,UC San Diego,"The job of a data scientist is to glean knowledge from complex and noisy datasets.

Reasoning about uncertainty is inherent in the analysis of noisy data. Probability and Statistics provide the mathematical foundation for such reasoning.

In this course, part of the Data Science MicroMasters program, you will learn the foundations of probability and statistics. You will learn both the mathematical theory, and get a hands-on experience of applying this theory to actual data using Jupyter notebooks.

Concepts covered included: random variables, dependence, correlation, regression, PCA, entropy and MDL.","The mathematical foundations for machine learning
Statistics literacy: understand the meaning of statements such as ""at a 99% confidence level""",
,Machine Learning Fundamentals,UC San Diego,"Do you want to build systems that learn from experience? Or exploit data to create simple predictive models of the world?

In this course, part of the Data Science MicroMasters program, you will learn a variety of supervised and unsupervised learning algorithms, and the theory behind those algorithms.

Using real-world case studies, you will learn how to classify images, identify salient topics in a corpus of documents, partition people according to personality profiles, and automatically capture the semantic structure of words and use it to categorize documents.

Armed with the knowledge from this course, you will be able to analyze many different types of data and to build descriptive and predictive models.

All programming examples and assignments will be in Python, using Jupyter notebooks.","Classification, regression, and conditional probability estimation
Generative and discriminative models
Linear models and extensions to nonlinearity using kernel methods
Ensemble methods: boosting, bagging, random forests
Representation learning: clustering, dimensionality reduction, autoencoders, deep nets",
,Big Data Analytics Using Spark,UC San Diego,"In data science, data is called ""big"" if it cannot fit into the memory of a single standard laptop or workstation.

The analysis of big datasets requires using a cluster of tens, hundreds or thousands of computers. Effectively using such clusters requires the use of distributed files systems, such as the Hadoop Distributed File System (HDFS) and corresponding computational models, such as Hadoop, MapReduce and Spark.

In this course, part of the Data Science MicroMasters program, you will learn what the bottlenecks are in massive parallel computation and how to use spark to minimize these bottlenecks.

You will learn how to perform supervised an unsupervised machine learning on massive datasets using the Machine Learning Library (MLlib).

In this course, as in the other ones in this MicroMasters program, you will gain hands-on experience using PySpark within the Jupyter notebooks environment.","Programming Spark using Pyspark
Identifying the computational tradeoffs in a Spark application
Performing data loading and cleaning using Spark and Parquet
Modeling data through statistical and machine learning methods",
,Data Science: Computational Thinking with Python,Berkeley,"We live in an era of unprecedented access to data. Understanding how to organize and leverage the vast amounts of information at our disposal are critical skills that allow us to infer upon the world and make informed decisions. This course will introduce you to such skills.

To work with large amounts of data, you will need to harness the power of computation through programming. This course teaches you basic programming skills for manipulating data. You will learn how to use Python to organize and manipulate data in tables, and to visualize data effectively. No prior experience with programming or Python is needed, nor is any statistics background necessary.

The examples given in the course involve real world data from diverse settings. Not all data is numerical – you will work with different types of data from a variety of domains. Though the term “data science” is relatively new, the fundamental ideas of data science are not. The course includes powerful examples that span the centuries from the Victorian era to the present day.

This course emphasizes learning through doing: you will work on large real-world data sets through interactive assignments to apply the skills you learn. Throughout, the underlying thread is that data science is a way of thinking, not just an assortment of methods. You will also hone your interpretation and communication skills, which are essential skills for data scientists.","Basics of the Python programming language, and how to use it as a tool for data analysis
Tools widely used by industry and academic data scientists, such as Jupyter Notebooks
How to use computation to help your data tell a story
Fundamental principles and methods of visualization",
,Statistical Thinking for Data Science and Analytics,Columbia,"This statistics and data analysis course will pave the statistical foundation for our discussion on data science.

You will learn how data scientists exercise statistical thinking in designing data collection, derive insights from visualizing data, obtain supporting evidence for data-based decisions and construct models for predicting future trends from data.","Week 1 – Introduction to Data Science

Week 2 – Statistical Thinking

Examples of Statistical Thinking
Numerical Data, Summary Statistics
From Population to Sampled Data
Different Types of Biases
Introduction to Probability
Introduction to Statistical Inference
Week 3 – Statistical Thinking 2

Association and Dependence
Association and Causation
Conditional Probability and Bayes Rule
Simpsons Paradox, Confounding
Introduction to Linear Regression
Special Regression Models
Week 4 – Exploratory Data Analysis and Visualization

Goals of statistical graphics and data visualization
Graphs of Data
Graphs of Fitted Models
Graphs to Check Fitted Models
What makes a good graph?
Principles of graphics
Week 5 – Introduction to Bayesian Modeling

Bayesian inference: combining models and data in a forecasting problem
Bayesian hierarchical modeling for studying public opinion
Bayesian modeling for Big Data","Data collection, analysis and inference
Data classification to identify key traits and customers
Conditional Probability-How to judge the probability of an event, based on certain conditions
How to use Bayesian modeling and inference for forecasting and studying public opinion
Basics of Linear Regression
Data Visualization: How to create use data to create compelling graphics"
,Introduction to Computational Thinking and Data Science,MIT,"6.00.2x will teach you how to use computation to accomplish a variety of goals and provides you with a brief introduction to a variety of topics in computational problem solving . This course is aimed at students with some prior programming experience in Python and a rudimentary knowledge of computational complexity. You will spend a considerable amount of time writing programs to implement the concepts covered in the course. For example, you will write a program that will simulate a robot vacuum cleaning a room or will model the population dynamics of viruses replicating and drug treatments in a patient's body.","Advanced programming in Python 3
Knapsack problem, Graphs and graph optimization
Dynamic programming
Plotting with the pylab package
Random walks
Probability, Distributions
Monte Carlo simulations
Curve fitting
Statistical fallacies","Plotting with the pylab package
Stochastic programming and statistical thinking
Monte Carlo simulations"
,Machine Learning for Data Science and Analytics,Columbia,"Machine Learning is a growing field that is used when searching the web, placing ads, credit scoring, stock trading and for many other applications.

This data science course is an introduction to machine learning and algorithms. You will develop a basic understanding of the principles of machine learning and derive practical solutions using predictive analytics. We will also examine why algorithms play an essential role in Big Data analysis.","What machine learning is and how it is related to statistics and data analysis
How machine learning uses computer algorithms to search for patterns in data
How to use data patterns to make decisions and predictions with real-world examples from healthcare involving genomics and preterm birth
How to uncover hidden themes in large collections of documents using topic modeling
How to prepare data, deal with missing data and create custom data analysis solutions for different industries
Basic and frequently used algorithmic techniques including sorting, searching, greedy algorithms and dynamic programming",
